class,accuracy
acerolas,0.8
apples,0.5
apricots,0.6666666666666666
avocados,0.6
bananas,0.8571428571428571
blackberries,0.8571428571428571
blueberries,0.8
cantaloupes,1.0
cherries,0.7142857142857143
coconuts,1.0
figs,0.6
grapefruits,0.8
grapes,0.625
guava,0.7142857142857143
kiwifruit,1.0
lemons,0.7142857142857143
limes,0.8333333333333334
mangos,0.5714285714285714
olives,0.8
oranges,0.8571428571428571
passionfruit,1.0
peaches,0.8
pears,0.3333333333333333
pineapples,0.8571428571428571
plums,0.6666666666666666
pomegranates,0.8333333333333334
raspberries,0.75
strawberries,1.0
tomatoes,1.0
watermelons,0.6666666666666666
