,negative,positive,micro avg,macro avg,weighted avg
precision,0.0,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.0,0.0,0.0
f1-score,0.0,0.0,0.0,0.0,0.0
support,6.0,10.0,16.0,16.0,16.0
precision,0.0,0.5,0.25,0.25,0.3125
recall,0.0,0.1,0.0625,0.05,0.0625
f1-score,0.0,0.16666666666666669,0.1,0.08333333333333334,0.10416666666666667
support,6.0,10.0,16.0,16.0,16.0
precision,0.0,0.0625,0.05,0.03125,0.0390625
recall,0.0,0.1,0.0625,0.05,0.0625
f1-score,0.0,0.07692307692307693,0.05555555555555556,0.038461538461538464,0.04807692307692308
support,6.0,10.0,16.0,16.0,16.0
precision,0.25,0.0,0.10526315789473684,0.125,0.09375
recall,0.3333333333333333,0.0,0.125,0.16666666666666666,0.125
f1-score,0.2857142857142857,0.0,0.11428571428571427,0.14285714285714288,0.10714285714285716
support,6.0,10.0,16.0,16.0,16.0
precision,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.0625
recall,0.16666666666666666,0.0,0.0625,0.08333333333333333,0.0625
f1-score,0.16666666666666666,0.0,0.07142857142857144,0.08333333333333333,0.0625
support,6.0,10.0,16.0,16.0,16.0
