,negative,positive,micro avg,macro avg,weighted avg
precision,0.0,0.060606060606060615,0.03773584905660377,0.030303030303030307,0.03787878787878788
recall,0.0,0.2,0.125,0.1,0.125
f1-score,0.0,0.0930232558139535,0.05797101449275361,0.04651162790697675,0.058139534883720936
support,6.0,10.0,16.0,16.0,16.0
precision,0.125,0.06666666666666668,0.0925925925925926,0.09583333333333333,0.08854166666666666
recall,0.5,0.2,0.3125,0.35,0.3125
f1-score,0.2,0.1,0.14285714285714285,0.15000000000000002,0.1375
support,6.0,10.0,16.0,16.0,16.0
precision,0.0,0.038461538461538464,0.025,0.019230769230769232,0.02403846153846154
recall,0.0,0.1,0.0625,0.05,0.0625
f1-score,0.0,0.05555555555555555,0.03571428571428572,0.027777777777777776,0.034722222222222224
support,6.0,10.0,16.0,16.0,16.0
precision,0.07142857142857142,0.0,0.023809523809523808,0.03571428571428571,0.026785714285714284
recall,0.16666666666666666,0.0,0.0625,0.08333333333333333,0.0625
f1-score,0.1,0.0,0.03448275862068965,0.05,0.037500000000000006
support,6.0,10.0,16.0,16.0,16.0
precision,0.10526315789473684,0.10256410256410256,0.10344827586206896,0.1039136302294197,0.10357624831309041
recall,0.3333333333333333,0.4,0.375,0.3666666666666667,0.375
f1-score,0.16,0.163265306122449,0.16216216216216217,0.16163265306122448,0.1620408163265306
support,6.0,10.0,16.0,16.0,16.0
