,negative,positive,micro avg,macro avg,weighted avg
precision,0.125,0.0,0.06666666666666668,0.0625,0.046875
recall,0.16666666666666666,0.0,0.0625,0.08333333333333333,0.0625
f1-score,0.14285714285714288,0.0,0.06451612903225808,0.07142857142857144,0.053571428571428575
support,6.0,10.0,16.0,16.0,16.0
precision,0.2,0.0,0.06666666666666668,0.1,0.07500000000000001
recall,0.16666666666666666,0.0,0.0625,0.08333333333333333,0.0625
f1-score,0.1818181818181818,0.0,0.06451612903225808,0.0909090909090909,0.06818181818181818
support,6.0,10.0,16.0,16.0,16.0
precision,0.2,0.0,0.16666666666666666,0.1,0.07500000000000001
recall,0.3333333333333333,0.0,0.125,0.16666666666666666,0.125
f1-score,0.25,0.0,0.14285714285714288,0.125,0.09375
support,6.0,10.0,16.0,16.0,16.0
precision,0.1875,0.0,0.15789473684210525,0.09375,0.0703125
recall,0.5,0.0,0.1875,0.25,0.1875
f1-score,0.2727272727272727,0.0,0.17142857142857146,0.13636363636363635,0.10227272727272728
support,6.0,10.0,16.0,16.0,16.0
precision,0.1,0.14285714285714285,0.11764705882352941,0.12142857142857143,0.12678571428571428
recall,0.16666666666666666,0.1,0.125,0.13333333333333333,0.125
f1-score,0.125,0.11764705882352941,0.12121212121212122,0.1213235294117647,0.12040441176470588
support,6.0,10.0,16.0,16.0,16.0
