,negative,positive,micro avg,macro avg,weighted avg
precision,0.05882352941176471,0.0,0.03225806451612903,0.029411764705882363,0.022058823529411763
recall,0.16666666666666666,0.0,0.0625,0.08333333333333333,0.0625
f1-score,0.08695652173913045,0.0,0.0425531914893617,0.043478260869565216,0.03260869565217392
support,6.0,10.0,16.0,16.0,16.0
precision,0.05357142857142857,0.25,0.06666666666666668,0.15178571428571427,0.1763392857142857
recall,0.5,0.1,0.25,0.3,0.25
f1-score,0.09677419354838708,0.14285714285714288,0.10526315789473684,0.119815668202765,0.12557603686635946
support,6.0,10.0,16.0,16.0,16.0
precision,1.0,0.0,0.125,0.5,0.375
recall,0.16666666666666666,0.0,0.0625,0.08333333333333333,0.0625
f1-score,0.2857142857142857,0.0,0.08333333333333333,0.14285714285714285,0.10714285714285714
support,6.0,10.0,16.0,16.0,16.0
precision,0.0,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.0,0.0,0.0
f1-score,0.0,0.0,0.0,0.0,0.0
support,6.0,10.0,16.0,16.0,16.0
precision,0.02666666666666667,0.0,0.025974025974025976,0.013333333333333334,0.01
recall,0.3333333333333333,0.0,0.125,0.16666666666666666,0.125
f1-score,0.04938271604938272,0.0,0.043010752688172046,0.02469135802469136,0.01851851851851852
support,6.0,10.0,16.0,16.0,16.0
