,negative,positive,micro avg,macro avg,weighted avg
precision,0.0,0.08333333333333333,0.047619047619047616,0.041666666666666664,0.05208333333333333
recall,0.0,0.1,0.0625,0.05,0.0625
f1-score,0.0,0.0909090909090909,0.05405405405405405,0.04545454545454545,0.05681818181818181
support,6.0,10.0,16.0,16.0,16.0
precision,0.06666666666666668,0.2272727272727273,0.16216216216216214,0.14696969696969694,0.16704545454545452
recall,0.16666666666666666,0.5,0.375,0.3333333333333333,0.375
f1-score,0.09523809523809522,0.3125,0.22641509433962265,0.2038690476190476,0.2310267857142857
support,6.0,10.0,16.0,16.0,16.0
precision,0.3333333333333333,0.14285714285714285,0.17647058823529413,0.2380952380952381,0.21428571428571427
recall,0.16666666666666666,0.2,0.1875,0.18333333333333326,0.1875
f1-score,0.2222222222222222,0.16666666666666666,0.1818181818181818,0.1944444444444444,0.1875
support,6.0,10.0,16.0,16.0,16.0
precision,0.14285714285714285,0.0,0.04166666666666666,0.07142857142857142,0.05357142857142857
recall,0.16666666666666666,0.0,0.0625,0.08333333333333333,0.0625
f1-score,0.15384615384615385,0.0,0.05,0.07692307692307691,0.057692307692307675
support,6.0,10.0,16.0,16.0,16.0
precision,0.14285714285714285,0.19047619047619047,0.17857142857142858,0.16666666666666666,0.17261904761904762
recall,0.16666666666666666,0.4,0.3125,0.2833333333333333,0.3125
f1-score,0.15384615384615383,0.25806451612903225,0.22727272727272727,0.20595533498759305,0.21898263027295284
support,6.0,10.0,16.0,16.0,16.0
