,negative,positive,micro avg,macro avg,weighted avg
precision,0.05263157894736842,0.0,0.03125,0.02631578947368421,0.01973684210526316
recall,0.16666666666666666,0.0,0.0625,0.08333333333333333,0.0625
f1-score,0.08,0.0,0.041666666666666664,0.04,0.03
support,6.0,10.0,16.0,16.0,16.0
precision,0.06,0.25,0.07407407407407407,0.155,0.17875
recall,0.5,0.1,0.25,0.3,0.25
f1-score,0.10714285714285712,0.14285714285714288,0.11428571428571427,0.125,0.12946428571428573
support,6.0,10.0,16.0,16.0,16.0
precision,1.0,0.14285714285714285,0.25,0.5714285714285714,0.4642857142857143
recall,0.16666666666666666,0.1,0.125,0.13333333333333333,0.125
f1-score,0.2857142857142857,0.1176470588235294,0.16666666666666666,0.2016806722689076,0.18067226890756305
support,6.0,10.0,16.0,16.0,16.0
precision,0.0,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.0,0.0,0.0
f1-score,0.0,0.0,0.0,0.0,0.0
support,6.0,10.0,16.0,16.0,16.0
precision,0.024096385542168676,0.0,0.023529411764705882,0.012048192771084338,0.009036144578313254
recall,0.3333333333333333,0.0,0.125,0.16666666666666666,0.125
f1-score,0.0449438202247191,0.0,0.039603960396039604,0.02247191011235955,0.016853932584269662
support,6.0,10.0,16.0,16.0,16.0
