,negative,positive,micro avg,macro avg,weighted avg
precision,0.1,0.06666666666666668,0.08,0.08333333333333334,0.07916666666666666
recall,0.16666666666666666,0.1,0.125,0.13333333333333333,0.125
f1-score,0.125,0.08,0.09756097560975607,0.1025,0.096875
support,6.0,10.0,16.0,16.0,16.0
precision,0.2222222222222222,0.13333333333333333,0.16666666666666666,0.17777777777777776,0.16666666666666666
recall,0.3333333333333333,0.2,0.25,0.26666666666666666,0.25
f1-score,0.26666666666666666,0.16,0.2,0.21333333333333326,0.2
support,6.0,10.0,16.0,16.0,16.0
precision,0.1,0.25,0.18181818181818185,0.175,0.19375
recall,0.16666666666666666,0.3,0.25,0.2333333333333333,0.25
f1-score,0.125,0.2727272727272727,0.2105263157894737,0.19886363636363635,0.21732954545454544
support,6.0,10.0,16.0,16.0,16.0
precision,0.18181818181818185,0.05263157894736842,0.1,0.11722488038277512,0.10107655502392343
recall,0.3333333333333333,0.1,0.1875,0.21666666666666667,0.1875
f1-score,0.23529411764705885,0.06896551724137931,0.13043478260869568,0.15212981744421908,0.13133874239350912
support,6.0,10.0,16.0,16.0,16.0
precision,0.07692307692307693,0.1111111111111111,0.0967741935483871,0.09401709401709402,0.0982905982905983
recall,0.16666666666666666,0.2,0.1875,0.18333333333333335,0.1875
f1-score,0.10526315789473684,0.14285714285714285,0.12765957446808507,0.12406015037593984,0.12875939849624057
support,6.0,10.0,16.0,16.0,16.0
