,negative,positive,micro avg,macro avg,weighted avg
precision,0.1176470588235294,0.08,0.09523809523809523,0.0988235294117647,0.09411764705882353
recall,0.3333333333333333,0.2,0.25,0.26666666666666666,0.25
f1-score,0.1739130434782609,0.11428571428571427,0.13793103448275862,0.1440993788819876,0.13664596273291926
support,6.0,10.0,16.0,16.0,16.0
precision,0.1111111111111111,0.125,0.11904761904761905,0.11805555555555555,0.11979166666666664
recall,0.3333333333333333,0.3,0.3125,0.31666666666666665,0.3125
f1-score,0.16666666666666666,0.17647058823529413,0.17241379310344826,0.1715686274509804,0.17279411764705882
support,6.0,10.0,16.0,16.0,16.0
precision,0.05,0.10526315789473684,0.07692307692307693,0.07763157894736841,0.08453947368421053
recall,0.16666666666666666,0.2,0.1875,0.18333333333333326,0.1875
f1-score,0.07692307692307691,0.13793103448275862,0.1090909090909091,0.10742705570291776,0.11505305039787796
support,6.0,10.0,16.0,16.0,16.0
precision,0.08333333333333333,0.07407407407407407,0.07692307692307693,0.07870370370370369,0.0775462962962963
recall,0.16666666666666666,0.2,0.1875,0.18333333333333332,0.1875
f1-score,0.1111111111111111,0.10810810810810813,0.1090909090909091,0.1096096096096096,0.10923423423423424
support,6.0,10.0,16.0,16.0,16.0
precision,0.14285714285714285,0.18181818181818182,0.16666666666666666,0.16233766233766234,0.16720779220779222
recall,0.3333333333333333,0.4,0.375,0.3666666666666667,0.375
f1-score,0.2,0.25000000000000006,0.23076923076923078,0.22500000000000003,0.23125000000000004
support,6.0,10.0,16.0,16.0,16.0
