,negative,positive,micro avg,macro avg,weighted avg
precision,0.125,0.1111111111111111,0.1176470588235294,0.11805555555555555,0.11631944444444445
recall,0.16666666666666666,0.1,0.125,0.13333333333333333,0.125
f1-score,0.14285714285714288,0.10526315789473684,0.12121212121212124,0.12406015037593987,0.11936090225563913
support,6.0,10.0,16.0,16.0,16.0
precision,0.25,0.05555555555555555,0.09090909090909093,0.1527777777777778,0.1284722222222222
recall,0.16666666666666666,0.1,0.125,0.13333333333333333,0.125
f1-score,0.2,0.07142857142857142,0.10526315789473684,0.13571428571428573,0.11964285714285715
support,6.0,10.0,16.0,16.0,16.0
precision,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.1388888888888889,0.13194444444444445
recall,0.16666666666666666,0.1,0.125,0.13333333333333333,0.125
f1-score,0.16666666666666666,0.10526315789473684,0.12903225806451615,0.13596491228070176,0.12828947368421054
support,6.0,10.0,16.0,16.0,16.0
precision,0.25,0.16666666666666666,0.2,0.2083333333333333,0.19791666666666666
recall,0.16666666666666666,0.1,0.125,0.13333333333333333,0.125
f1-score,0.2,0.125,0.15384615384615385,0.1625,0.153125
support,6.0,10.0,16.0,16.0,16.0
precision,0.3333333333333333,0.1875,0.21052631578947367,0.26041666666666663,0.2421875
recall,0.16666666666666666,0.3,0.25,0.23333333333333334,0.25
f1-score,0.2222222222222222,0.23076923076923075,0.22857142857142856,0.22649572649572647,0.22756410256410253
support,6.0,10.0,16.0,16.0,16.0
