,negative,positive,micro avg,macro avg,weighted avg
precision,0.1111111111111111,0.1,0.10526315789473684,0.10555555555555557,0.10416666666666666
recall,0.16666666666666666,0.1,0.125,0.13333333333333333,0.125
f1-score,0.13333333333333333,0.10000000000000002,0.11428571428571427,0.11666666666666667,0.11250000000000004
support,6.0,10.0,16.0,16.0,16.0
precision,0.1111111111111111,0.07692307692307693,0.09090909090909093,0.09401709401709404,0.08974358974358974
recall,0.16666666666666666,0.1,0.125,0.13333333333333333,0.125
f1-score,0.13333333333333333,0.08695652173913042,0.10526315789473684,0.11014492753623188,0.10434782608695653
support,6.0,10.0,16.0,16.0,16.0
precision,0.14285714285714285,0.2,0.17647058823529413,0.17142857142857146,0.17857142857142858
recall,0.16666666666666666,0.2,0.1875,0.18333333333333326,0.1875
f1-score,0.15384615384615385,0.20000000000000004,0.1818181818181818,0.17692307692307693,0.1826923076923077
support,6.0,10.0,16.0,16.0,16.0
precision,0.0,0.1,0.08333333333333333,0.05,0.0625
recall,0.0,0.1,0.0625,0.05,0.0625
f1-score,0.0,0.10000000000000002,0.07142857142857144,0.05000000000000001,0.06250000000000001
support,6.0,10.0,16.0,16.0,16.0
precision,0.2857142857142857,0.09090909090909091,0.16666666666666666,0.18831168831168832,0.16396103896103897
recall,0.3333333333333333,0.1,0.1875,0.21666666666666667,0.1875
f1-score,0.30769230769230765,0.09523809523809525,0.17647058823529413,0.20146520146520144,0.1749084249084249
support,6.0,10.0,16.0,16.0,16.0
