,negative,positive,micro avg,macro avg,weighted avg
precision,0.0,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.0,0.0,0.0
f1-score,0.0,0.0,0.0,0.0,0.0
support,6.0,10.0,16.0,16.0,16.0
precision,0.0,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.0,0.0,0.0
f1-score,0.0,0.0,0.0,0.0,0.0
support,6.0,10.0,16.0,16.0,16.0
precision,0.0,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.0,0.0,0.0
f1-score,0.0,0.0,0.0,0.0,0.0
support,6.0,10.0,16.0,16.0,16.0
precision,0.0,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.0,0.0,0.0
f1-score,0.0,0.0,0.0,0.0,0.0
support,6.0,10.0,16.0,16.0,16.0
precision,0.0,0.0,0.0,0.0,0.0
recall,0.0,0.0,0.0,0.0,0.0
f1-score,0.0,0.0,0.0,0.0,0.0
support,6.0,10.0,16.0,16.0,16.0
