,acerolas,apples,apricots,avocados,bananas,blackberries,blueberries,cantaloupes,cherries,coconuts,figs,grapefruits,grapes,guava,kiwifruit,lemons,limes,mangos,olives,oranges,passionfruit,peaches,pears,pineapples,plums,pomegranates,raspberries,strawberries,tomatoes,watermelons,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.5,0.0,0.06666666666666668,0.16666666666666666,0.3333333333333333,0.125,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.0,0.1875,0.0,0.3,0.125,0.3333333333333333,0.0,0.125,0.16666666666666666,0.0,0.0,0.1,0.1111111111111111,0.25,0.25,0.3333333333333333,0.05882352941176471,0.0,0.125,0.12345679012345676,0.13487745098039214,0.13406627397186582
recall,0.0,0.0,0.42857142857142855,0.0,0.09090909090909093,0.1111111111111111,0.125,0.125,0.125,0.16666666666666666,0.16666666666666666,0.0,0.3,0.0,0.3333333333333333,0.14285714285714285,0.42857142857142855,0.0,0.16666666666666666,0.1111111111111111,0.0,0.0,0.125,0.1111111111111111,0.125,0.14285714285714285,0.2,0.08333333333333333,0.0,0.125,0.12345679012345676,0.12445887445887445,0.12345679012345676
f1-score,0.0,0.0,0.4615384615384615,0.0,0.07692307692307691,0.13333333333333333,0.18181818181818185,0.125,0.1176470588235294,0.13333333333333333,0.16666666666666666,0.0,0.23076923076923075,0.0,0.3157894736842105,0.13333333333333333,0.375,0.0,0.14285714285714288,0.13333333333333333,0.0,0.0,0.11111111111111112,0.1111111111111111,0.16666666666666666,0.18181818181818185,0.25,0.06896551724137931,0.0,0.125,0.12345679012345676,0.1247338404787428,0.1237055739309844
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,6.0,9.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,12.0,12.0,8.0,0.12345679012345676,243.0,243.0
precision,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.16666666666666666,0.2,0.2222222222222222,0.1,0.0,0.3333333333333333,0.2,0.05882352941176471,0.3076923076923077,0.25,0.14285714285714285,0.15384615384615385,0.0,0.125,0.0,0.14285714285714285,0.0,0.18181818181818185,0.0,0.09090909090909093,0.25,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.12757201646090535,0.11631726117020234,0.12406372978268405
recall,0.0,0.0,0.0,0.0,0.09090909090909093,0.0,0.125,0.125,0.25,0.16666666666666666,0.0,0.25,0.1,0.125,0.4444444444444444,0.2857142857142857,0.14285714285714285,0.2222222222222222,0.0,0.1111111111111111,0.0,0.2857142857142857,0.0,0.25,0.0,0.14285714285714285,0.2,0.08333333333333333,0.16666666666666666,0.125,0.12757201646090535,0.12308321308321307,0.12757201646090535
f1-score,0.0,0.0,0.0,0.0,0.1,0.0,0.14285714285714288,0.15384615384615385,0.2352941176470588,0.125,0.0,0.2857142857142857,0.13333333333333333,0.07999999999999999,0.3636363636363637,0.26666666666666666,0.14285714285714285,0.18181818181818185,0.0,0.1176470588235294,0.0,0.19047619047619047,0.0,0.2105263157894737,0.0,0.1111111111111111,0.22222222222222224,0.1111111111111111,0.15384615384615385,0.13333333333333333,0.12757201646090535,0.11537656283631514,0.12124817178939415
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.12757201646090535,243.0,243.0
precision,0.0,0.08333333333333333,0.14285714285714285,0.0,0.2727272727272727,0.25,0.14285714285714285,0.5,0.3,0.0,0.16666666666666666,0.0,0.0,0.06666666666666668,0.2857142857142857,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.07692307692307693,0.14285714285714285,0.0,0.42857142857142855,0.25,0.25,0.0,0.16049382716049382,0.15086136086136084,0.16299687966354634
recall,0.0,0.1,0.14285714285714285,0.0,0.2727272727272727,0.4444444444444444,0.125,0.5,0.375,0.0,0.16666666666666666,0.0,0.0,0.125,0.2222222222222222,0.0,0.2857142857142857,0.0,0.0,0.2222222222222222,0.0,0.2857142857142857,0.0,0.125,0.25,0.0,0.3,0.16666666666666666,0.3333333333333333,0.0,0.16049382716049382,0.14808561808561807,0.16049382716049382
f1-score,0.0,0.0909090909090909,0.14285714285714285,0.0,0.2727272727272727,0.32,0.13333333333333333,0.5,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.08695652173913045,0.25,0.0,0.3636363636363637,0.0,0.0,0.26666666666666666,0.0,0.30769230769230765,0.0,0.09523809523809523,0.18181818181818185,0.0,0.3529411764705882,0.2,0.2857142857142857,0.0,0.16049382716049382,0.14501634796008198,0.15696218323195682
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.16049382716049382,243.0,243.0
precision,0.4,0.0,0.2,0.0,0.25,0.2631578947368421,0.5,0.2307692307692308,0.14285714285714285,0.0,0.0,0.4444444444444444,0.125,0.125,0.6,0.2,0.16666666666666666,0.14285714285714285,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.2222222222222222,0.06666666666666668,0.0,0.1728395061728395,0.15357046462309626,0.1600558587563136
recall,0.3333333333333333,0.0,0.14285714285714285,0.0,0.09090909090909093,0.5555555555555556,0.25,0.375,0.25,0.0,0.0,0.5,0.1,0.125,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.125,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.1728395061728395,0.1672101972101972,0.1728395061728395
f1-score,0.3636363636363636,0.0,0.16666666666666666,0.0,0.13333333333333333,0.35714285714285715,0.3333333333333333,0.2857142857142857,0.18181818181818185,0.0,0.0,0.4705882352941176,0.11111111111111112,0.125,0.631578947368421,0.2352941176470588,0.2105263157894737,0.13333333333333333,0.0,0.4545454545454546,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.1904761904761905,0.07407407407407407,0.0,0.1728395061728395,0.153050204487253,0.15850197444051362
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,6.0,9.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,12.0,12.0,8.0,0.1728395061728395,243.0,243.0
precision,0.2,0.125,0.15384615384615385,0.14285714285714285,0.0,0.3333333333333333,0.6,0.4,0.0,0.0,0.14285714285714285,0.16666666666666666,0.0,0.1111111111111111,0.14285714285714285,0.25,0.08333333333333333,0.07692307692307693,0.0,0.2,0.0,0.0,0.0,0.1111111111111111,0.0,0.16666666666666666,0.08333333333333333,0.2727272727272727,0.0,0.1111111111111111,0.12345679012345678,0.12912448662448664,0.13014523199708386
recall,0.16666666666666666,0.1,0.2857142857142857,0.16666666666666666,0.0,0.3333333333333333,0.375,0.5,0.0,0.0,0.16666666666666666,0.125,0.0,0.125,0.1111111111111111,0.14285714285714285,0.14285714285714285,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.125,0.0,0.14285714285714285,0.1,0.25,0.0,0.125,0.12345679012345678,0.12353174603174602,0.12345679012345678
f1-score,0.1818181818181818,0.11111111111111112,0.2,0.15384615384615383,0.0,0.3333333333333333,0.4615384615384615,0.4444444444444445,0.0,0.0,0.15384615384615383,0.14285714285714288,0.0,0.11764705882352941,0.125,0.18181818181818182,0.10526315789473685,0.09090909090909093,0.0,0.14285714285714285,0.0,0.0,0.0,0.11764705882352941,0.0,0.15384615384615383,0.0909090909090909,0.2608695652173913,0.0,0.11764705882352941,0.12345679012345678,0.12290695142391198,0.12352814033402618
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.12345679012345678,243.0,243.0
