,acerolas,apples,apricots,avocados,bananas,blackberries,blueberries,cantaloupes,cherries,coconuts,figs,grapefruits,grapes,guava,kiwifruit,lemons,limes,mangos,olives,oranges,passionfruit,peaches,pears,pineapples,plums,pomegranates,raspberries,strawberries,tomatoes,watermelons,accuracy,macro avg,weighted avg
precision,0.0,0.060606060606060615,0.08333333333333333,0.06666666666666668,0.0,0.07692307692307693,0.6,0.2222222222222222,0.0,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.3333333333333333,0.0,0.0,0.14285714285714285,0.0,0.0,0.2,0.16666666666666666,0.2857142857142857,0.0,0.0,0.09876543209876544,0.11607901357901355,0.11879268422478298
recall,0.0,0.2,0.14285714285714285,0.16666666666666666,0.0,0.1111111111111111,0.375,0.5,0.0,0.0,0.16666666666666666,0.25,0.0,0.0,0.0,0.0,0.14285714285714285,0.25,0.0,0.1111111111111111,0.0,0.0,0.125,0.0,0.0,0.14285714285714285,0.1,0.16666666666666666,0.0,0.0,0.09876543209876544,0.09835978835978837,0.09876543209876544
f1-score,0.0,0.0930232558139535,0.10526315789473684,0.09523809523809522,0.0,0.09090909090909093,0.4615384615384615,0.30769230769230765,0.0,0.0,0.14285714285714288,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.26666666666666666,0.0,0.16666666666666666,0.0,0.0,0.13333333333333333,0.0,0.0,0.16666666666666666,0.125,0.2105263157894737,0.0,0.0,0.09876543209876544,0.09662381647999764,0.09784906661238316
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,6.0,9.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,12.0,12.0,8.0,0.09876543209876544,243.0,243.0
precision,0.125,0.06666666666666668,0.037037037037037035,0.0,0.07692307692307693,0.125,0.3333333333333333,0.15384615384615385,0.09090909090909093,0.0,0.16666666666666666,0.25,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.42857142857142855,0.3333333333333333,0.0,0.0,0.1111111111111111,0.12290955957622625,0.1346673635768286
recall,0.5,0.2,0.14285714285714285,0.0,0.09090909090909093,0.2222222222222222,0.5,0.25,0.125,0.0,0.16666666666666666,0.125,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.125,0.0,0.0,0.14285714285714285,0.3,0.16666666666666666,0.0,0.0,0.1111111111111111,0.10894300144300144,0.1111111111111111
f1-score,0.2,0.1,0.05882352941176471,0.0,0.08333333333333334,0.16,0.4,0.1904761904761905,0.10526315789473684,0.0,0.16666666666666666,0.16666666666666666,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.14285714285714288,0.0,0.0,0.15384615384615385,0.3529411764705882,0.2222222222222222,0.0,0.0,0.1111111111111111,0.09426987466151554,0.1001380170535084
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.1111111111111111,243.0,243.0
precision,0.0,0.038461538461538464,0.07692307692307693,0.0,0.10526315789473684,0.1111111111111111,0.2727272727272727,0.06666666666666668,0.07142857142857142,0.2,0.0,0.14285714285714285,0.0,0.0,0.16666666666666666,0.0,0.2,0.25,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.0,0.09053497942386833,0.09840350682455946,0.11053666209611628
recall,0.0,0.1,0.2857142857142857,0.0,0.18181818181818185,0.2222222222222222,0.375,0.125,0.125,0.16666666666666666,0.0,0.125,0.0,0.0,0.1111111111111111,0.0,0.14285714285714285,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.09053497942386833,0.08479076479076479,0.09053497942386833
