,acerolas,apples,apricots,avocados,bananas,blackberries,blueberries,cantaloupes,cherries,coconuts,figs,grapefruits,grapes,guava,kiwifruit,lemons,limes,mangos,olives,oranges,passionfruit,peaches,pears,pineapples,plums,pomegranates,raspberries,strawberries,tomatoes,watermelons,accuracy,macro avg,weighted avg
precision,0.18181818181818185,0.0,0.14285714285714285,0.0,0.4,0.2857142857142857,1.0,0.0,0.5,0.375,0.0,0.2222222222222222,0.0,0.2631578947368421,0.5,0.16666666666666666,0.0,0.125,0.0,1.0,0.0,0.0,0.14285714285714285,0.0,0.2,0.14285714285714285,0.16666666666666666,0.09090909090909093,0.0,0.0196078431372549,0.14814814814814814,0.19751114268142134,0.20378329592678104
recall,0.3333333333333333,0.0,0.14285714285714285,0.0,0.18181818181818185,0.2222222222222222,0.5,0.0,0.125,0.5,0.0,0.25,0.0,0.625,0.2222222222222222,0.14285714285714285,0.0,0.25,0.0,0.3333333333333333,0.0,0.0,0.125,0.0,0.125,0.14285714285714285,0.1,0.08333333333333333,0.0,0.125,0.14814814814814814,0.1509944684944685,0.14814814814814814
f1-score,0.23529411764705885,0.0,0.14285714285714285,0.0,0.2500000000000001,0.25,0.6666666666666666,0.0,0.2,0.42857142857142855,0.0,0.2352941176470588,0.0,0.3703703703703704,0.30769230769230765,0.15384615384615385,0.0,0.16666666666666666,0.0,0.5,0.0,0.0,0.13333333333333333,0.0,0.15384615384615385,0.14285714285714285,0.125,0.08695652173913042,0.0,0.03389830508474576,0.14814814814814814,0.15277168096084534,0.15351205881997654
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,6.0,9.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,12.0,12.0,8.0,0.14814814814814814,243.0,243.0
precision,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.4,1.0,0.16666666666666666,0.0,0.2,0.0,0.0,0.08196721311475409,0.2,0.18181818181818185,0.14285714285714285,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.25,0.0,0.16666666666666666,0.16666666666666666,0.2727272727272727,0.0,0.2857142857142857,0.0,0.1440329218106996,0.17272502542994347,0.1859199448149053
recall,0.16666666666666666,0.0,0.0,0.0,0.18181818181818185,0.2222222222222222,0.5,0.125,0.0,0.3333333333333333,0.0,0.0,0.5,0.25,0.2222222222222222,0.14285714285714285,0.0,0.0,0.16666666666666666,0.4444444444444444,0.0,0.0,0.125,0.0,0.125,0.14285714285714285,0.3,0.0,0.16666666666666666,0.0,0.1440329218106996,0.13715848965848965,0.1440329218106996
f1-score,0.16666666666666666,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.14285714285714288,0.0,0.25,0.0,0.0,0.14084507042253522,0.22222222222222224,0.2,0.14285714285714285,0.0,0.0,0.16666666666666666,0.5333333333333333,0.0,0.0,0.16666666666666666,0.0,0.14285714285714288,0.15384615384615385,0.28571428571428564,0.0,0.2105263157894737,0.0,0.1440329218106996,0.13877180159982233,0.14573364967987415
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.1440329218106996,243.0,243.0
precision,0.25,0.5,0.02,0.3333333333333333,0.0,0.3076923076923077,1.0,0.1111111111111111,0.0,0.25,0.0,0.1111111111111111,0.0,0.14285714285714285,0.4,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.2222222222222222,0.0,0.0,0.17647058823529413,0.14814814814814814,0.4,0.3333333333333333,0.14285714285714285,0.2,0.1646090534979424,0.196082325807816,0.20541224431807828
recall,0.3333333333333333,0.1,0.14285714285714285,0.3333333333333333,0.0,0.4444444444444444,0.5,0.125,0.0,0.16666666666666666,0.0,0.125,0.0,0.125,0.2222222222222222,0.0,0.14285714285714285,0.0,0.0,0.2222222222222222,0.0,0.2857142857142857,0.0,0.0,0.375,0.5714285714285714,0.2,0.25,0.08333333333333333,0.25,0.1646090534979424,0.1666137566137566,0.1646090534979424
