,acerolas,apples,apricots,avocados,bananas,blackberries,blueberries,cantaloupes,cherries,coconuts,figs,grapefruits,grapes,guava,kiwifruit,lemons,limes,mangos,olives,oranges,passionfruit,peaches,pears,pineapples,plums,pomegranates,raspberries,strawberries,tomatoes,watermelons,accuracy,macro avg,weighted avg
precision,0.05882352941176471,0.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.0,0.14285714285714285,0.0,0.05555555555555555,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04032258064516129,0.3333333333333333,1.0,0.0,0.0,0.06995884773662553,0.14444243647279706,0.1606256157934655
recall,0.16666666666666666,0.0,0.14285714285714285,0.16666666666666666,0.18181818181818185,0.0,0.125,0.0,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.1,0.08333333333333333,0.0,0.0,0.06995884773662553,0.07420875420875421,0.06995884773662553
f1-score,0.08695652173913045,0.0,0.2,0.2222222222222222,0.2222222222222222,0.0,0.13333333333333333,0.0,0.07692307692307691,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.22222222222222224,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.07633587786259542,0.15384615384615385,0.15384615384615385,0.0,0.0,0.06995884773662553,0.06493025947390367,0.06525140031058826
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,6.0,9.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,12.0,12.0,8.0,0.06995884773662553,243.0,243.0
precision,0.05357142857142857,0.25,0.0,0.0,0.0,0.0,1.0,0.027027027027027032,0.05263157894736842,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0411522633744856,0.05978288149340781,0.06340500151416331
recall,0.5,0.1,0.0,0.0,0.0,0.0,0.125,0.25,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0411522633744856,0.044166666666666674,0.0411522633744856
f1-score,0.09677419354838708,0.14285714285714288,0.0,0.0,0.0,0.0,0.2222222222222222,0.04878048780487805,0.07407407407407407,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0411522633744856,0.02779307898636512,0.029095461576285783
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.0411522633744856,243.0,243.0
precision,1.0,0.0,0.029411764705882363,0.5,0.16666666666666666,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.06584362139917696,0.19431372549019607,0.18644396030016944
recall,0.16666666666666666,0.0,0.5714285714285714,0.16666666666666666,0.09090909090909093,0.1111111111111111,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.14285714285714285,0.0,0.0,0.1111111111111111,0.0,0.14285714285714285,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.06584362139917696,0.07002765752765752,0.06584362139917696
f1-score,0.2857142857142857,0.0,0.05594405594405594,0.25,0.11764705882352942,0.2,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.16666666666666666,0.0,0.0,0.1818181818181818,0.0,0.22222222222222224,0.0,0.2222222222222222,0.18181818181818185,0.0,0.0,0.0,0.0,0.0,0.06584362139917696,0.07745377715965951,0.074457278378847
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.06584362139917696,243.0,243.0
precision,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.045454545454545456,0.4,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02985074626865672,0.0,0.0,0.0,0.18181818181818185,0.3333333333333333,0.0,0.06584362139917696,0.11753903641963345,0.1316865248871882
recall,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.125,0.3333333333333333,0.0,0.0,0.1,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.06584362139917696,0.0612037037037037,0.06584362139917696
f1-score,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.06666666666666668,0.3636363636363636,0.0,0.0,0.14285714285714288,0.0,0.3636363636363636,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.05594405594405594,0.0,0.0,0.0,0.17391304347826084,0.13333333333333333,0.0,0.06584362139917696,0.05888845454062845,0.06395159084370032
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,6.0,9.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,12.0,12.0,8.0,0.06584362139917696,243.0,243.0
precision,0.02666666666666667,0.0,0.0,1.0,0.14285714285714285,0.0,1.0,0.0,0.06493506493506493,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.0,0.0,0.0,0.4,0.0,0.6666666666666666,0.0,0.4,0.2,0.0,0.3333333333333333,0.18181818181818182,0.16666666666666666,0.3333333333333333,0.09876543209876543,0.18165367965367965,0.18065594213742361
recall,0.3333333333333333,0.0,0.0,0.16666666666666666,0.09090909090909091,0.0,0.125,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,0.0,0.0,0.0,0.2222222222222222,0.0,0.2857142857142857,0.0,0.25,0.125,0.0,0.1,0.16666666666666666,0.08333333333333333,0.125,0.09876543209876543,0.09842712842712843,0.09876543209876543
