,acerolas,apples,apricots,avocados,bananas,blackberries,blueberries,cantaloupes,cherries,coconuts,figs,grapefruits,grapes,guava,kiwifruit,lemons,limes,mangos,olives,oranges,passionfruit,peaches,pears,pineapples,plums,pomegranates,raspberries,strawberries,tomatoes,watermelons,accuracy,macro avg,weighted avg
precision,0.0,0.15384615384615385,0.0,0.0,0.3125,0.5,0.5,0.25,0.25,0.16666666666666666,0.16666666666666666,0.2,0.125,0.0,0.2,0.6666666666666666,0.3636363636363637,0.25,0.0,0.6,0.0,0.0,0.0,0.26666666666666666,0.3333333333333333,0.18181818181818185,0.3333333333333333,0.25,0.14285714285714285,0.3333333333333333,0.21810699588477367,0.21821081696081693,0.22959573005869305
recall,0.0,0.2,0.0,0.0,0.4545454545454545,0.5555555555555556,0.625,0.25,0.25,0.16666666666666666,0.16666666666666666,0.25,0.1,0.0,0.3333333333333333,0.2857142857142857,0.5714285714285714,0.125,0.0,0.3333333333333333,0.0,0.0,0.0,0.4444444444444444,0.125,0.2857142857142857,0.2,0.25,0.08333333333333333,0.125,0.21810699588477367,0.20602453102453105,0.21810699588477367
f1-score,0.0,0.17391304347826084,0.0,0.0,0.3703703703703703,0.5263157894736842,0.5555555555555556,0.25,0.25,0.16666666666666666,0.16666666666666666,0.22222222222222224,0.11111111111111112,0.0,0.25,0.4,0.4444444444444444,0.16666666666666666,0.0,0.42857142857142855,0.0,0.0,0.0,0.33333333333333337,0.18181818181818185,0.2222222222222222,0.25,0.25,0.10526315789473684,0.18181818181818185,0.21810699588477367,0.20023196807712448,0.2117809531210855
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,6.0,9.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,12.0,12.0,8.0,0.21810699588477367,243.0,243.0
precision,0.0,0.05555555555555555,0.0,0.08333333333333333,0.4545454545454545,0.3333333333333333,0.7142857142857143,0.2727272727272727,0.0,0.125,0.25,0.16666666666666666,0.0,0.2,0.3333333333333333,0.25,0.2727272727272727,0.2,0.0,0.14285714285714285,0.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.25,0.0,0.19753086419753085,0.1981878306878307,0.20983913206135432
recall,0.0,0.1,0.0,0.16666666666666666,0.4545454545454545,0.4444444444444444,0.625,0.375,0.0,0.16666666666666666,0.16666666666666666,0.125,0.0,0.125,0.5555555555555556,0.2857142857142857,0.42857142857142855,0.1111111111111111,0.0,0.1111111111111111,0.0,0.14285714285714285,0.125,0.25,0.125,0.2857142857142857,0.2,0.25,0.08333333333333333,0.0,0.19753086419753085,0.19009860509860507,0.19753086419753085
f1-score,0.0,0.07142857142857142,0.0,0.1111111111111111,0.4545454545454545,0.3809523809523809,0.6666666666666666,0.3157894736842105,0.0,0.14285714285714288,0.2,0.14285714285714288,0.0,0.15384615384615385,0.4166666666666667,0.26666666666666666,0.3333333333333333,0.14285714285714285,0.0,0.125,0.0,0.2,0.14285714285714288,0.2352941176470588,0.14285714285714288,0.2857142857142857,0.25,0.2857142857142857,0.125,0.0,0.19753086419753085,0.1864004960754187,0.19529751071718726
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.19753086419753085,243.0,243.0
precision,0.1111111111111111,0.16666666666666666,0.09090909090909093,0.16666666666666666,0.3333333333333333,0.3636363636363637,0.5555555555555556,0.14285714285714285,0.15384615384615385,0.3,0.25,0.4545454545454545,0.08333333333333333,0.16666666666666666,0.2352941176470588,0.16666666666666666,0.25,0.14285714285714285,0.0,0.5,0.0,0.0,0.5,0.2,0.2857142857142857,0.375,0.16666666666666666,0.5714285714285714,0.16666666666666666,0.2,0.24279835390946505,0.2366473885591533,0.2480853656416474
recall,0.16666666666666666,0.2,0.14285714285714285,0.3333333333333333,0.3636363636363637,0.4444444444444444,0.625,0.125,0.25,0.5,0.3333333333333333,0.625,0.1,0.125,0.4444444444444444,0.14285714285714285,0.14285714285714285,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.125,0.125,0.25,0.42857142857142855,0.2,0.3333333333333333,0.08333333333333333,0.125,0.24279835390946505,0.2393037518037518,0.24279835390946505
