,acerolas,apples,apricots,avocados,bananas,blackberries,blueberries,cantaloupes,cherries,coconuts,figs,grapefruits,grapes,guava,kiwifruit,lemons,limes,mangos,olives,oranges,passionfruit,peaches,pears,pineapples,plums,pomegranates,raspberries,strawberries,tomatoes,watermelons,accuracy,macro avg,weighted avg
precision,0.3333333333333333,0.0,0.2727272727272727,0.0,0.35714285714285715,0.5,0.7,0.2,0.09090909090909093,0.42857142857142855,0.0,0.25,0.0,0.2,0.3333333333333333,0.2,0.6666666666666666,0.0,0.5,0.3333333333333333,0.0,0.0,0.18181818181818185,0.29411764705882354,0.3333333333333333,0.375,0.3,0.4444444444444444,0.3076923076923077,0.3333333333333333,0.26337448559670784,0.26452521878992463,0.2699119709468293
recall,0.3333333333333333,0.0,0.42857142857142855,0.0,0.4545454545454545,0.3333333333333333,0.875,0.125,0.125,0.5,0.0,0.125,0.0,0.125,0.3333333333333333,0.14285714285714285,0.5714285714285714,0.0,0.3333333333333333,0.1111111111111111,0.0,0.0,0.25,0.5555555555555556,0.25,0.42857142857142855,0.3,0.3333333333333333,0.3333333333333333,0.375,0.26337448559670784,0.2580880230880231,0.26337448559670784
f1-score,0.3333333333333333,0.0,0.3333333333333333,0.0,0.4,0.4,0.7777777777777777,0.15384615384615385,0.10526315789473684,0.4615384615384615,0.0,0.16666666666666666,0.0,0.15384615384615385,0.3333333333333333,0.16666666666666666,0.6153846153846153,0.0,0.4,0.16666666666666666,0.0,0.0,0.2105263157894737,0.3846153846153846,0.2857142857142857,0.4,0.3,0.3809523809523809,0.32,0.35294117647058826,0.26337448559670784,0.2534135287943337,0.2584466815388345
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,6.0,9.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,12.0,12.0,8.0,0.26337448559670784,243.0,243.0
precision,0.0,0.25,0.2,0.2,0.6,0.75,0.6,0.4,0.25,0.25,0.0,0.3,0.2727272727272727,0.2727272727272727,0.4,0.5,0.6,0.16666666666666666,0.0,0.5555555555555556,0.18181818181818185,0.4,0.25,0.42857142857142855,0.2727272727272727,0.3333333333333333,0.2857142857142857,0.4,0.4,0.42857142857142855,0.32098765432098764,0.3316137566137567,0.3481383499902018
recall,0.0,0.2,0.14285714285714285,0.16666666666666666,0.5454545454545454,0.3333333333333333,0.375,0.25,0.25,0.3333333333333333,0.0,0.375,0.3,0.375,0.4444444444444444,0.42857142857142855,0.42857142857142855,0.1111111111111111,0.0,0.5555555555555556,0.4,0.2857142857142857,0.25,0.375,0.375,0.2857142857142857,0.4,0.3333333333333333,0.5,0.375,0.32098765432098764,0.3064886964886965,0.32098765432098764
f1-score,0.0,0.22222222222222224,0.16666666666666666,0.1818181818181818,0.5714285714285713,0.4615384615384616,0.4615384615384615,0.3076923076923077,0.25,0.2857142857142857,0.0,0.3333333333333333,0.28571428571428564,0.3157894736842105,0.4210526315789474,0.4615384615384615,0.5,0.13333333333333333,0.0,0.5555555555555556,0.2500000000000001,0.3333333333333333,0.25,0.4,0.3157894736842105,0.30769230769230765,0.3333333333333333,0.3636363636363636,0.4444444444444445,0.4,0.32098765432098764,0.3104388496493761,0.32613850544324874
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.32098765432098764,243.0,243.0
precision,0.125,0.07142857142857142,0.375,0.16666666666666666,0.7,0.375,0.5714285714285714,0.3333333333333333,0.125,0.6,0.125,0.25,0.1875,0.25,0.5,0.0,0.375,0.0,0.0,0.18181818181818185,0.0,0.25,0.1,0.2307692307692308,0.4444444444444444,0.2857142857142857,0.2,0.3076923076923077,0.7142857142857143,0.0,0.2757201646090535,0.2615027102527103,0.278206544255927
recall,0.16666666666666666,0.1,0.42857142857142855,0.16666666666666666,0.6363636363636364,0.3333333333333333,0.5,0.375,0.125,0.5,0.16666666666666666,0.125,0.3,0.25,0.5555555555555556,0.0,0.42857142857142855,0.0,0.0,0.2222222222222222,0.0,0.2857142857142857,0.125,0.375,0.5,0.2857142857142857,0.2,0.3333333333333333,0.4166666666666667,0.0,0.2757201646090535,0.26336820586820586,0.2757201646090535
