,acerolas,apples,apricots,avocados,bananas,blackberries,blueberries,cantaloupes,cherries,coconuts,figs,grapefruits,grapes,guava,kiwifruit,lemons,limes,mangos,olives,oranges,passionfruit,peaches,pears,pineapples,plums,pomegranates,raspberries,strawberries,tomatoes,watermelons,accuracy,macro avg,weighted avg
precision,0.14285714285714285,0.0,0.2727272727272727,0.6,0.2727272727272727,0.5833333333333334,1.0,0.5555555555555556,0.42857142857142855,0.5,0.14285714285714285,0.7142857142857143,0.14285714285714285,1.0,0.3636363636363637,0.0,0.5,0.2,0.5,1.0,0.3636363636363637,0.4,0.375,0.3333333333333333,0.375,0.375,0.3636363636363637,0.35,0.16666666666666666,0.3333333333333333,0.3786008230452675,0.4118338143338143,0.4057950165974858
recall,0.16666666666666666,0.0,0.42857142857142855,0.5,0.2727272727272727,0.7777777777777778,0.25,0.625,0.375,0.3333333333333333,0.16666666666666666,0.625,0.2,0.625,0.4444444444444444,0.0,0.42857142857142855,0.375,0.16666666666666666,0.6666666666666666,0.8,0.2857142857142857,0.375,0.4444444444444444,0.375,0.42857142857142855,0.4,0.5833333333333334,0.08333333333333333,0.25,0.3786008230452675,0.3817496392496392,0.3786008230452675
f1-score,0.15384615384615385,0.0,0.3333333333333333,0.5454545454545454,0.2727272727272727,0.6666666666666666,0.4,0.5882352941176471,0.4,0.4,0.15384615384615385,0.6666666666666666,0.16666666666666666,0.7692307692307693,0.4,0.0,0.4615384615384615,0.2608695652173913,0.25,0.8,0.5000000000000001,0.3333333333333333,0.375,0.3809523809523809,0.375,0.4,0.3809523809523809,0.4375,0.1111111111111111,0.2857142857142857,0.3786008230452675,0.3756215013791741,0.3723051230534417
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,6.0,9.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,12.0,12.0,8.0,0.3786008230452675,243.0,243.0
precision,0.0,0.0,0.2,1.0,0.3636363636363637,0.8,0.5,0.5,0.4444444444444444,0.42857142857142855,0.25,0.6666666666666666,0.2380952380952381,0.6666666666666666,0.1875,0.25,0.0,0.21428571428571427,0.3333333333333333,0.5714285714285714,0.2,0.6666666666666666,0.3333333333333333,0.3043478260869565,0.42857142857142855,0.3684210526315789,0.6,0.3333333333333333,0.25,0.0,0.3333333333333333,0.3699767355917241,0.3685562406792314
recall,0.0,0.0,0.14285714285714285,0.3333333333333333,0.3636363636363637,0.4444444444444444,0.375,0.375,0.5,0.5,0.3333333333333333,0.25,0.5,0.25,0.3333333333333333,0.14285714285714285,0.0,0.3333333333333333,0.16666666666666666,0.4444444444444444,0.2,0.2857142857142857,0.25,0.875,0.375,1.0,0.3,0.5,0.25,0.0,0.3333333333333333,0.3274651274651275,0.3333333333333333
f1-score,0.0,0.0,0.16666666666666666,0.5,0.3636363636363637,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.4705882352941176,0.4615384615384615,0.2857142857142857,0.3636363636363637,0.3225806451612903,0.3636363636363637,0.24000000000000005,0.18181818181818185,0.0,0.2608695652173913,0.2222222222222222,0.5,0.20000000000000004,0.4,0.2857142857142857,0.4516129032258065,0.4,0.5384615384615384,0.4,0.4,0.25,0.0,0.3333333333333333,0.31524225035049225,0.3190971698604916
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.3333333333333333,243.0,243.0
precision,0.0,0.1111111111111111,0.25,0.0,0.5714285714285714,0.5,0.5,0.4444444444444444,0.4444444444444444,0.75,0.0,0.5,0.125,0.5,0.3888888888888889,0.0,0.2,0.5,0.0,0.8333333333333334,0.2857142857142857,0.3,0.4444444444444444,0.21052631578947367,0.3333333333333333,0.4444444444444444,0.375,0.4,0.25,0.42857142857142855,0.3539094650205761,0.3363561681982735,0.3495169680029979
recall,0.0,0.1,0.2857142857142857,0.0,0.3636363636363637,0.5555555555555556,0.375,0.5,0.5,0.5,0.0,0.5,0.1,0.5,0.7777777777777778,0.0,0.14285714285714285,0.3333333333333333,0.0,0.5555555555555556,0.4,0.42857142857142855,0.5,0.5,0.5,0.5714285714285714,0.3,0.5,0.16666666666666666,0.375,0.3539094650205761,0.3443698893698894,0.3539094650205761
f1-score,0.0,0.10526315789473684,0.26666666666666666,0.0,0.4444444444444444,0.5263157894736842,0.42857142857142855,0.4705882352941176,0.4705882352941176,0.6,0.0,0.5,0.11111111111111112,0.5,0.5185185185185185,0.0,0.16666666666666666,0.4,0.0,0.6666666666666667,0.3333333333333333,0.3529411764705882,0.4705882352941176,0.2962962962962963,0.4,0.5,0.3333333333333333,0.4444444444444445,0.2,0.4,0.3539094650205761,0.3302112579924757,0.3410965213943976
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.3539094650205761,243.0,243.0
