,acerolas,apples,apricots,avocados,bananas,blackberries,blueberries,cantaloupes,cherries,coconuts,figs,grapefruits,grapes,guava,kiwifruit,lemons,limes,mangos,olives,oranges,passionfruit,peaches,pears,pineapples,plums,pomegranates,raspberries,strawberries,tomatoes,watermelons,accuracy,macro avg,weighted avg
precision,0.2857142857142857,0.1111111111111111,0.16666666666666666,0.0,0.2857142857142857,0.21052631578947367,0.8333333333333334,0.5,0.125,0.0,0.25,0.4,0.16666666666666666,0.2,0.0,0.5,1.0,0.0,0.0,0.6666666666666666,0.0,0.5,0.125,0.05882352941176471,0.1111111111111111,0.5,0.4,0.5,0.42857142857142855,0.0,0.21810699588477367,0.2774968466918931,0.28693065270292645
recall,0.3333333333333333,0.3,0.5714285714285714,0.0,0.3636363636363637,0.4444444444444444,0.625,0.75,0.375,0.0,0.16666666666666666,0.25,0.1,0.125,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.2222222222222222,0.0,0.14285714285714285,0.125,0.1111111111111111,0.125,0.14285714285714285,0.2,0.16666666666666666,0.25,0.0,0.21810699588477367,0.2106265031265032,0.21810699588477367
f1-score,0.30769230769230765,0.16216216216216214,0.25806451612903225,0.0,0.32,0.2857142857142857,0.7142857142857143,0.6,0.1875,0.0,0.2,0.3076923076923077,0.125,0.15384615384615385,0.0,0.22222222222222224,0.4444444444444445,0.0,0.0,0.3333333333333333,0.0,0.22222222222222224,0.125,0.07692307692307691,0.1176470588235294,0.22222222222222224,0.26666666666666666,0.25,0.3157894736842105,0.0,0.21810699588477367,0.20728093893546304,0.21559527304630274
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,6.0,9.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,12.0,12.0,8.0,0.21810699588477367,243.0,243.0
precision,0.14285714285714285,0.07142857142857142,0.05555555555555555,0.16666666666666666,0.14285714285714285,0.1111111111111111,0.3333333333333333,0.375,0.1,0.0,0.09090909090909093,0.6666666666666666,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.4,0.2,0.08333333333333333,0.0,0.0,0.75,0.25,0.5,0.0,0.1522633744855967,0.17497474747474748,0.19289069412526205
recall,0.3333333333333333,0.2,0.14285714285714285,0.16666666666666666,0.09090909090909093,0.2222222222222222,0.375,0.375,0.25,0.0,0.16666666666666666,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.2857142857142857,0.25,0.125,0.0,0.0,0.3,0.16666666666666666,0.16666666666666666,0.0,0.1522633744855967,0.14703823953823955,0.1522633744855967
f1-score,0.2,0.10526315789473682,0.08,0.16666666666666666,0.1111111111111111,0.14814814814814814,0.35294117647058826,0.375,0.14285714285714288,0.0,0.11764705882352942,0.3636363636363637,0.1176470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.3333333333333333,0.22222222222222224,0.1,0.0,0.0,0.4285714285714285,0.2,0.25,0.0,0.1522633744855967,0.14494594006307113,0.1544149915070681
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.1522633744855967,243.0,243.0
precision,0.15384615384615385,0.13333333333333333,0.0,0.05,0.18181818181818185,0.15789473684210525,0.625,0.2307692307692308,0.16666666666666666,0.0,0.0,0.25,0.0,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.25,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.07142857142857142,0.0,0.125,0.0,0.25,0.25,0.0,0.14814814814814814,0.16795380058537954,0.17282401556280694
recall,0.3333333333333333,0.2,0.0,0.16666666666666666,0.18181818181818185,0.3333333333333333,0.625,0.375,0.375,0.0,0.0,0.125,0.0,0.125,0.1111111111111111,0.14285714285714285,0.2857142857142857,0.1111111111111111,0.0,0.1111111111111111,0.0,0.2857142857142857,0.0,0.125,0.0,0.14285714285714285,0.0,0.16666666666666666,0.08333333333333333,0.0,0.14814814814814814,0.14685425685425685,0.14814814814814814
