,acerolas,apples,apricots,avocados,bananas,blackberries,blueberries,cantaloupes,cherries,coconuts,figs,grapefruits,grapes,guava,kiwifruit,lemons,limes,mangos,olives,oranges,passionfruit,peaches,pears,pineapples,plums,pomegranates,raspberries,strawberries,tomatoes,watermelons,accuracy,macro avg,weighted avg
precision,0.15384615384615385,0.07142857142857142,0.2,0.2857142857142857,0.2307692307692308,0.25,1.0,0.3181818181818182,0.08333333333333333,0.25,0.5,0.3333333333333333,0.25,0.6666666666666666,0.5,0.375,0.5714285714285714,0.4,0.14285714285714285,0.5,0.3333333333333333,0.0,0.15384615384615385,0.2222222222222222,0.0,0.15789473684210525,0.3333333333333333,0.25,0.1,0.5,0.25925925925925924,0.3044396295712085,0.3002897380577693
recall,0.3333333333333333,0.1,0.14285714285714285,0.3333333333333333,0.2727272727272727,0.2222222222222222,0.5,0.875,0.125,0.3333333333333333,0.3333333333333333,0.375,0.1,0.25,0.1111111111111111,0.42857142857142855,0.5714285714285714,0.25,0.16666666666666666,0.4444444444444444,0.4,0.0,0.25,0.2222222222222222,0.0,0.42857142857142855,0.1,0.16666666666666666,0.08333333333333333,0.25,0.25925925925925924,0.2723051948051948,0.25925925925925924
f1-score,0.21052631578947367,0.08333333333333333,0.16666666666666666,0.30769230769230765,0.24999999999999994,0.2352941176470588,0.6666666666666666,0.4666666666666667,0.1,0.2857142857142857,0.4,0.35294117647058826,0.14285714285714288,0.3636363636363637,0.1818181818181818,0.4,0.5714285714285714,0.3076923076923077,0.15384615384615385,0.4705882352941176,0.3636363636363636,0.0,0.1904761904761905,0.2222222222222222,0.0,0.2307692307692308,0.15384615384615385,0.2,0.0909090909090909,0.3333333333333333,0.25925925925925924,0.26341870261374906,0.2544394622309999
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,6.0,9.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,12.0,12.0,8.0,0.25925925925925924,243.0,243.0
precision,0.2222222222222222,0.17647058823529413,0.14285714285714285,0.2,0.5,0.16666666666666666,1.0,0.13636363636363635,0.0,0.2,0.0,0.13043478260869565,0.0,0.5,0.5,0.3333333333333333,0.3076923076923077,0.0,0.0,0.4444444444444444,0.0,0.0,0.2,0.15384615384615385,0.0,0.2777777777777778,0.5,0.5,0.3636363636363637,0.0,0.20987654320987653,0.2318581806561346,0.2500347987386603
recall,0.3333333333333333,0.3,0.14285714285714285,0.16666666666666666,0.18181818181818185,0.1111111111111111,0.375,0.375,0.0,0.3333333333333333,0.0,0.375,0.0,0.125,0.1111111111111111,0.5714285714285714,0.5714285714285714,0.0,0.0,0.4444444444444444,0.0,0.0,0.25,0.25,0.0,0.7142857142857143,0.1,0.16666666666666666,0.3333333333333333,0.0,0.20987654320987653,0.2110606060606061,0.20987654320987653
f1-score,0.26666666666666666,0.22222222222222224,0.14285714285714285,0.1818181818181818,0.26666666666666666,0.13333333333333333,0.5454545454545454,0.2,0.0,0.25,0.0,0.19354838709677416,0.0,0.2,0.1818181818181818,0.4210526315789474,0.4,0.0,0.0,0.4444444444444444,0.0,0.0,0.22222222222222224,0.1904761904761905,0.0,0.4,0.16666666666666669,0.25,0.3478260869565217,0.0,0.20987654320987653,0.18756911900929027,0.19335138755565304
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.20987654320987653,243.0,243.0
precision,0.3333333333333333,0.2,0.05,0.6666666666666666,0.8,0.5,0.8333333333333334,0.2608695652173913,0.125,0.25,0.3333333333333333,0.0,0.0,0.5,1.0,0.6,0.4615384615384616,0.0,0.125,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.21052631578947367,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.2469135802469136,0.2847750600954262,0.2888600710478271
recall,0.3333333333333333,0.2,0.14285714285714285,0.3333333333333333,0.3636363636363637,0.2222222222222222,0.625,0.75,0.25,0.6666666666666666,0.16666666666666666,0.0,0.0,0.125,0.2222222222222222,0.8571428571428571,0.8571428571428571,0.0,0.16666666666666666,0.2222222222222222,0.0,0.0,0.125,0.125,0.0,0.5714285714285714,0.1,0.16666666666666666,0.08333333333333333,0.125,0.2469135802469136,0.2600180375180375,0.2469135802469136
f1-score,0.3333333333333333,0.20000000000000004,0.07407407407407407,0.4444444444444444,0.5000000000000001,0.30769230769230765,0.7142857142857143,0.3870967741935483,0.16666666666666666,0.3636363636363637,0.2222222222222222,0.0,0.0,0.2,0.3636363636363636,0.7058823529411764,0.6,0.0,0.14285714285714288,0.25,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.3076923076923077,0.10526315789473684,0.2222222222222222,0.09523809523809523,0.14285714285714288,0.2469135802469136,0.23719224508515105,0.2326222194637905
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.2469135802469136,243.0,243.0
precision,0.2,0.125,0.0,0.2222222222222222,1.0,0.2,0.6,0.42857142857142855,0.25,0.4444444444444444,0.0,0.2,0.0,1.0,0.5,0.125,0.42857142857142855,0.2,0.0,0.2,0.0,1.0,0.09090909090909093,0.4444444444444444,0.0,0.2,0.4,0.4,0.2352941176470588,0.42857142857142855,0.2674897119341564,0.3107676201793849,0.3252384567744045
recall,0.16666666666666666,0.1,0.0,0.3333333333333333,0.09090909090909093,0.1111111111111111,0.375,0.75,0.5,0.6666666666666666,0.0,0.125,0.0,0.375,0.2222222222222222,0.2857142857142857,0.8571428571428571,0.125,0.0,0.2222222222222222,0.0,0.14285714285714285,0.25,0.4444444444444444,0.0,0.7142857142857143,0.2,0.3333333333333333,0.3333333333333333,0.375,0.2674897119341564,0.2699747474747474,0.2674897119341564
f1-score,0.1818181818181818,0.11111111111111112,0.0,0.26666666666666666,0.16666666666666669,0.14285714285714285,0.4615384615384615,0.5454545454545454,0.3333333333333333,0.5333333333333333,0.0,0.15384615384615385,0.0,0.5454545454545454,0.30769230769230765,0.17391304347826084,0.5714285714285714,0.15384615384615385,0.0,0.2105263157894737,0.0,0.25,0.13333333333333333,0.4444444444444444,0.0,0.3125,0.26666666666666666,0.3636363636363636,0.27586206896551724,0.4,0.2674897119341564,0.24353098037870785,0.2473046370744573
