,acerolas,apples,apricots,avocados,bananas,blackberries,blueberries,cantaloupes,cherries,coconuts,figs,grapefruits,grapes,guava,kiwifruit,lemons,limes,mangos,olives,oranges,passionfruit,peaches,pears,pineapples,plums,pomegranates,raspberries,strawberries,tomatoes,watermelons,accuracy,macro avg,weighted avg
precision,0.2727272727272727,0.16666666666666666,0.2857142857142857,0.4444444444444444,0.4444444444444444,0.35714285714285715,0.5833333333333334,0.5714285714285714,0.2727272727272727,0.5555555555555556,0.2222222222222222,0.2857142857142857,0.4,0.42857142857142855,0.6,0.5,0.5555555555555556,0.0,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.16666666666666666,0.6,0.5,0.3333333333333333,0.5,0.42857142857142855,0.625,0.4,0.4,0.4074074074074074,0.4045971620971621,0.4110748876180976
recall,0.5,0.2,0.5714285714285714,0.6666666666666666,0.7272727272727273,0.5555555555555556,0.875,0.5,0.375,0.8333333333333334,0.3333333333333333,0.25,0.2,0.375,0.3333333333333333,0.2857142857142857,0.7142857142857143,0.0,0.16666666666666666,0.4444444444444444,0.6,0.14285714285714285,0.375,0.3333333333333333,0.125,0.7142857142857143,0.3,0.4166666666666667,0.3333333333333333,0.25,0.4074074074074074,0.4165836940836941,0.4074074074074074
f1-score,0.3529411764705882,0.1818181818181818,0.3809523809523809,0.5333333333333333,0.5517241379310345,0.43478260869565216,0.7000000000000001,0.5333333333333333,0.3157894736842105,0.6666666666666667,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.4,0.42857142857142855,0.3636363636363637,0.6250000000000001,0.0,0.2222222222222222,0.5,0.42857142857142855,0.15384615384615385,0.4615384615384615,0.4,0.18181818181818185,0.588235294117647,0.3529411764705882,0.5,0.3636363636363636,0.3076923076923077,0.4074074074074074,0.390968355833551,0.3902357396978723
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,6.0,9.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,12.0,12.0,8.0,0.4074074074074074,243.0,243.0
precision,0.1111111111111111,0.1111111111111111,0.5,0.16666666666666666,0.5714285714285714,0.3888888888888889,0.75,0.3076923076923077,0.3,0.5,0.5,0.625,0.25,0.3333333333333333,0.4117647058823529,0.6666666666666666,0.5714285714285714,0.0,0.25,0.6666666666666666,0.25,0.6,0.25,0.6,0.75,0.625,0.3333333333333333,0.5454545454545454,0.5,1.0,0.41975308641975306,0.4478515493221376,0.4504857369962672
recall,0.16666666666666666,0.2,0.5714285714285714,0.16666666666666666,0.7272727272727273,0.7777777777777778,0.75,0.5,0.375,0.5,0.3333333333333333,0.625,0.1,0.375,0.7777777777777778,0.5714285714285714,0.5714285714285714,0.0,0.16666666666666666,0.6666666666666666,0.2,0.42857142857142855,0.125,0.375,0.375,0.7142857142857143,0.2,0.5,0.3333333333333333,0.25,0.41975308641975306,0.4141101491101491,0.41975308641975306
f1-score,0.13333333333333333,0.14285714285714285,0.5333333333333333,0.16666666666666666,0.64,0.5185185185185185,0.75,0.3809523809523809,0.3333333333333333,0.5,0.4,0.625,0.14285714285714288,0.35294117647058826,0.5384615384615384,0.6153846153846153,0.5714285714285714,0.0,0.2,0.6666666666666666,0.22222222222222224,0.5,0.16666666666666666,0.4615384615384615,0.5,0.6666666666666666,0.25,0.5217391304347826,0.4,0.4,0.41975308641975306,0.41001891892642106,0.4133872119575129
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.41975308641975306,243.0,243.0
precision,0.125,0.25,0.25,0.1111111111111111,0.6,0.3636363636363637,1.0,0.2222222222222222,0.25,0.6666666666666666,0.125,0.4,0.5333333333333333,0.3333333333333333,0.375,0.8,0.3333333333333333,0.125,0.0,0.5555555555555556,0.3333333333333333,0.75,0.0,0.6666666666666666,0.5,0.7,0.7142857142857143,0.45,0.6666666666666666,0.5,0.4279835390946502,0.4233381433381432,0.437832766227828
recall,0.16666666666666666,0.3,0.2857142857142857,0.16666666666666666,0.5454545454545454,0.4444444444444444,0.875,0.25,0.25,1.0,0.16666666666666666,0.25,0.8,0.375,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.1111111111111111,0.0,0.5555555555555556,0.2,0.42857142857142855,0.0,0.5,0.375,1.0,0.5,0.75,0.16666666666666666,0.25,0.4279835390946502,0.4174013949013949,0.4279835390946502
f1-score,0.14285714285714288,0.2727272727272727,0.26666666666666666,0.13333333333333333,0.5714285714285713,0.4,0.9333333333333332,0.2352941176470588,0.25,0.8,0.14285714285714288,0.3076923076923077,0.64,0.35294117647058826,0.4800000000000001,0.6666666666666666,0.4210526315789474,0.1176470588235294,0.0,0.5555555555555556,0.25,0.5454545454545454,0.0,0.5714285714285715,0.42857142857142855,0.8235294117647058,0.588235294117647,0.5625000000000001,0.26666666666666666,0.3333333333333333,0.4279835390946502,0.4019924076325006,0.4121514107020356
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.4279835390946502,243.0,243.0
precision,0.125,0.16666666666666666,0.25,0.16666666666666666,0.375,0.4444444444444444,0.6363636363636364,0.3636363636363637,0.42857142857142855,0.5555555555555556,0.25,0.6666666666666666,0.14285714285714285,0.2857142857142857,0.3125,0.0,0.7142857142857143,0.3333333333333333,0.5,0.5714285714285714,0.5,0.2727272727272727,0.0,0.3333333333333333,0.5,0.5714285714285714,0.5,0.4545454545454545,0.7,0.0,0.3786008230452675,0.3706908369408369,0.3764890973224306
recall,0.16666666666666666,0.3,0.2857142857142857,0.16666666666666666,0.8181818181818182,0.4444444444444444,0.875,0.5,0.375,0.8333333333333334,0.16666666666666666,0.5,0.1,0.5,0.5555555555555556,0.0,0.7142857142857143,0.125,0.16666666666666666,0.4444444444444444,0.2,0.42857142857142855,0.0,0.2222222222222222,0.25,0.5714285714285714,0.3,0.4166666666666667,0.5833333333333334,0.0,0.3786008230452675,0.3669949494949495,0.3786008230452675
f1-score,0.14285714285714288,0.21428571428571427,0.26666666666666666,0.16666666666666666,0.5142857142857142,0.4444444444444444,0.7368421052631579,0.4210526315789474,0.4,0.6666666666666667,0.2,0.5714285714285715,0.1176470588235294,0.3636363636363637,0.4,0.0,0.7142857142857143,0.18181818181818185,0.25,0.5,0.2857142857142857,0.3333333333333333,0.0,0.26666666666666666,0.3333333333333333,0.5714285714285714,0.375,0.43478260869565216,0.6363636363636365,0.0,0.3786008230452675,0.3503068692747654,0.3593861288523848
